row_id,message,cluster_id,message_clean,represent_name
2279,"Help friends to query the device's warranty period and the Machine Model""",4,"['help', 'friends', 'query', 'device', 'warranty', 'period', 'machine', 'model']","want,apple"
2535,"From April iPhone app is said to respond to the screens for x are still speaking is a lie, the majority of the app is not supported.",4,"['april', 'iphone', 'app', 'say', 'respond', 'screen', 'x', 'still', 'speak', 'lie', 'majority', 'app', 'support']","want,apple"
2498,"Its very good app, i love it",4,"['good', 'app', 'love']","want,apple"
2500,Not good. I need to update payment info and gave up getting someone on the phone and cannot find a prompt at Apple support to update payment info. ÊThis is lame,4,"['good', 'need', 'update', 'payment', 'info', 'give', 'get', 'someone', 'phone', 'find', 'prompt', 'apple', 'support', 'update', 'payment', 'info', 'lame']","want,apple"
2501,How Cana device I no longer have be deleted from showing in my account.,4,"['cana', 'device', 'longer', 'delete', 'show', 'account']","want,apple"
2502,"""CanÕt find in ITunes anymore ",4,"['find', 'itunes', 'anymore']","want,apple"
2503,"Ò The James Bond Collection Ò itÕs telling me only U.K. iTunes has it , should I purchase it there and transfer to US or why this collection is not available anymore in US ? ",4,"['jam', 'bond', 'collection', 'tell', 'u', 'k', 'itunes', 'purchase', 'transfer', 'us', 'collection', 'available', 'anymore', 'us']","want,apple"
2506,High Definition TV to pay in what?,4,"['high', 'definition', 'tv', 'pay']","want,apple"
2507,Today has been the worst experience I have ever had with Apple apps! If you didnÕt get any better than today I would never use my Apple phone again and I stood in line for the very first Apple ever made and have had every single one cents.,4,"['today', 'worst', 'experience', 'ever', 'apple', 'apps', 'get', 'better', 'today', 'would', 'never', 'use', 'apple', 'phone', 'stand', 'line', 'first', 'apple', 'ever', 'make', 'every', 'single', 'one', 'cents']","want,apple"
2509,Please cancel iTunes for iPad. Tried as instructed did not work. Please make sure I do not get billed again. I never use it. Want refund from April 6 charge. Please confirm cancellation and refund. Thank you Katherine Menagh,4,"['please', 'cancel', 'itunes', 'ipad', 'try', 'instruct', 'work', 'please', 'make', 'sure', 'get', 'bill', 'never', 'use', 'want', 'refund', 'april', '6', 'charge', 'please', 'confirm', 'cancellation', 'refund', 'thank', 'katherine', 'menagh']","want,apple"
2513,Why does my app they are said to be disabled?,4,"['app', 'say', 'disable']","want,apple"
2519,My iPhone 7 stopped working the rear camera,4,"['iphone', '7', 'stop', 'work', 'rear', 'camera']","want,apple"
2520,"Just checking to see if my order went thru one again, thx Ronny OÕkeith Walker, never can get order number or check out COMPLETELY!!",4,"['check', 'see', 'order', 'go', 'thru', 'one', 'thx', 'ronny', 'keith', 'walker', 'never', 'get', 'order', 'number', 'check', 'completely']","want,apple"
2522,Fraud transaction ID0218501,4,"['fraud', 'transaction', 'id0218501']","want,apple"
2523,Someone used my account for suspicious transactions and i must pay $99,4,"['someone', 'use', 'account', 'suspicious', 'transactions', 'must', 'pay', '99']","want,apple"
2526,I like to be able toÕs speech to type when I speak anytime should be more accurate sometime is knight,4,"['like', 'able', 'speech', 'type', 'speak', 'anytime', 'accurate', 'sometime', 'knight']","want,apple"
2527,"I have another appliance but i forgot the date of birth , but i know the password and the iCloud but the account is locked How do I unlock ??",4,"['another', 'appliance', 'forget', 'date', 'birth', 'know', 'password', 'icloud', 'account', 'lock', 'unlock']","want,apple"
2494,Please open the account for the AppStore so I can buy from applications,4,"['please', 'open', 'account', 'appstore', 'buy', 'applications']","want,apple"
2492,"My old home number is linked to my contact info, this is wrong, and now Apple canÕt call me!!",4,"['old', 'home', 'number', 'link', 'contact', 'info', 'wrong', 'apple', 'call']","want,apple"
